194.247.182.120:8443#IS_1 [313ms]
147.45.51.217:443#IT_1 [172ms]
217.61.61.242:443#IT_2 [172ms]
132.243.205.93:8443#IT_3 [187ms]
80.211.48.113:443#IT_4 [203ms]
132.243.205.87:8443#IT_5 [219ms]
38.180.194.222:2053#IT_6 [235ms]
132.243.205.99:8443#IT_7 [266ms]
132.243.205.63:8443#IT_8 [453ms]
8.219.195.31:443#JP_1 [优选高速93ms]
45.32.17.67:443#JP_2 [94ms]
151.241.131.13:8443#JP_3 [109ms]
154.12.191.129:443#JP_4 [优选高速110ms]
154.31.117.245:443#JP_5 [优选高速110ms]
103.200.30.13:443#JP_6 [110ms]
149.62.44.146:443#JP_7 [优选高速125ms]
103.201.130.54:8443#JP_8 [优选高速125ms]
188.240.213.41:2053#KG_1 [265ms]
188.240.213.98:2053#KG_2 [281ms]
158.180.72.60:443#KR_1 [优选高速93ms]
156.59.181.101:443#KR_2 [109ms]
151.245.106.81:443#KR_3 [218ms]
129.154.222.63:8443#KR_4 [234ms]
152.70.253.84:8443#KR_5 [250ms]
146.56.188.74:443#KR_6 [266ms]
193.123.232.91:443#KR_7 [1266ms]
195.210.47.233:2053#KZ_1 [187ms]
104.238.24.247:443#KZ_2 [187ms]
104.238.24.139:8443#KZ_3 [187ms]
195.210.47.233:8443#KZ_4 [203ms]
104.238.24.99:443#KZ_5 [203ms]
45.80.208.246:443#KZ_6 [204ms]
104.238.24.164:443#KZ_7 [218ms]
185.253.8.44:2053#KZ_8 [219ms]
185.80.129.84:443#LT_1 [172ms]
195.238.126.11:443#LT_2 [188ms]
46.29.234.155:8443#LT_3 [234ms]
195.238.126.150:443#LT_4 [250ms]
103.231.72.240:443#LT_5 [266ms]
103.113.69.63:443#LT_6 [266ms]
103.231.72.6:8443#LT_7 [282ms]
185.80.128.115:8443#LT_8 [297ms]
146.19.84.236:2053#LV_1 [171ms]
146.19.84.90:2053#LV_2 [171ms]
193.68.89.220:8443#LV_3 [187ms]
195.135.253.203:443#LV_4 [234ms]
169.40.1.23:443#LV_5 [250ms]
185.242.106.92:443#LV_6 [250ms]
195.123.215.250:8443#LV_7 [250ms]
195.123.211.254:8443#LV_8 [265ms]
194.48.248.157:443#MD_1 [250ms]
193.42.108.114:443#MD_2 [281ms]
45.67.229.8:443#MD_3 [313ms]
193.36.38.17:443#MD_4 [313ms]
185.163.45.40:443#MD_5 [1266ms]
91.208.162.68:443#MD_6 [1312ms]
45.83.141.93:443#MK_1 [234ms]
131.196.253.141:443#MX_1 [312ms]
202.184.108.239:8443#MY_1 [453ms]
38.180.97.176:2053#NL_1 [140ms]
46.249.44.245:8443#NL_2 [141ms]
103.65.231.157:443#NL_3 [141ms]
185.233.184.13:443#NL_4 [141ms]
144.31.123.64:443#NL_5 [141ms]
138.226.220.60:443#NL_6 [156ms]
151.247.25.120:443#NL_7 [156ms]
163.5.207.235:443#NL_8 [156ms]
194.5.98.105:2053#NO_1 [250ms]
194.5.98.105:8443#NO_2 [265ms]
194.5.98.17:443#NO_3 [312ms]
195.86.215.26:443#PH_1 [250ms]
23.27.24.101:443#PL_1 [203ms]
45.144.48.186:8443#PL_2 [203ms]
144.31.171.33:443#PL_3 [203ms]
217.30.10.55:443#PL_4 [203ms]
217.30.10.55:2083#PL_5 [203ms]
45.66.11.133:8443#PL_6 [204ms]
213.134.31.130:8443#PL_7 [218ms]
103.167.234.26:443#PL_8 [219ms]
45.12.131.34:443#PT_1 [187ms]
185.138.89.29:8443#PT_2 [250ms]
185.138.89.45:2053#PT_3 [313ms]
156.244.43.22:443#QA_1 [454ms]
195.133.55.2:443#RO_1 [203ms]
185.225.17.13:443#RO_2 [218ms]
38.180.35.88:443#RO_3 [219ms]
154.43.62.76:443#RO_4 [250ms]
185.104.181.228:443#RO_5 [296ms]
185.39.30.18:8443#RO_6 [328ms]
64.7.199.84:443#RO_7 [1265ms]
185.165.169.144:8443#RO_8 [1313ms]
45.15.160.249:443#RS_1 [187ms]
109.71.242.243:8443#RU_1 [110ms]
195.133.53.166:8443#RU_2 [125ms]
194.164.245.177:443#RU_3 [125ms]
5.35.11.205:2053#RU_4 [141ms]
194.67.67.158:8443#RU_5 [156ms]
5.101.50.226:443#RU_6 [156ms]
31.129.48.139:443#RU_7 [156ms]
195.58.48.193:2096#RU_8 [156ms]
188.126.76.3:443#SE_1 [156ms]
138.124.112.238:2053#SE_2 [156ms]
46.246.98.5:8443#SE_3 [172ms]
77.110.121.229:443#SE_4 [172ms]
138.124.99.132:443#SE_5 [172ms]
192.145.30.27:443#SE_6 [187ms]
142.111.244.56:443#SE_7 [187ms]
138.124.59.201:443#SE_8 [187ms]
52.77.224.71:443#SG_1 [78ms]
3.1.116.161:2053#SG_2 [109ms]
185.81.28.39:443#SG_3 [156ms]
45.77.241.64:443#SG_4 [172ms]
185.225.20.99:8443#SG_5 [187ms]
161.118.213.45:443#SG_6 [204ms]
138.2.72.71:8443#SG_7 [219ms]
5.34.176.240:443#SG_8 [219ms]
45.150.128.181:443#TH_1 [171ms]
141.98.115.65:8443#TR_1 [235ms]
185.226.92.190:2053#TR_2 [281ms]
188.132.232.192:2053#TR_3 [312ms]
38.180.113.22:443#TR_4 [328ms]
185.113.223.183:8443#TR_5 [328ms]
185.219.133.106:443#TR_6 [343ms]
212.192.6.42:443#TR_7 [375ms]
212.192.6.248:443#TR_8 [375ms]
103.137.63.227:8443#TW_1 [141ms]
223.165.4.124:2053#TW_2 [235ms]
31.58.50.143:2053#US_1 [156ms]
31.58.87.242:8443#US_2 [156ms]
142.171.118.101:443#US_3 [156ms]
143.198.225.58:8443#US_4 [156ms]
154.17.5.106:443#US_5 [156ms]
20.120.129.200:443#US_6 [156ms]
38.105.31.248:443#US_7 [156ms]
154.21.89.103:8443#US_8 [157ms]
163.61.74.121:443#VN_1 [110ms]
161.248.31.35:443#VN_2 [1125ms]
156.38.157.171:8443#ZA_1 [328ms]
102.209.117.68:443#ZA_2 [360ms]
139.84.236.69:443#ZA_3 [453ms]
139.84.226.30:8443#ZA_4 [469ms]
